adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,fs_year,fs_quarter
0001193125-18-054078,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20171231,2017.0,FY,20180222,2018-02-22 16:18:00.0,0,1,mx-20171231.xml,1,,2018,1
0001193125-12-102315,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,4-NON,0,1231.0,10-K,20111231,2011.0,FY,20120308,2012-03-08 06:55:00.0,0,0,mx-20111231.xml,1,,2012,1
0001193125-16-470674,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20151231,2015.0,FY,20160222,2016-02-22 06:14:00.0,0,1,mx-20151231.xml,1,,2016,1
0001193125-13-197418,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20130331,2013.0,Q1,20130503,2013-05-03 06:28:00.0,0,1,mx-20130331.xml,1,,2013,2
0001193125-17-248789,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20170630,2017.0,Q2,20170804,2017-08-04 16:32:00.0,0,1,mx-20170630.xml,1,,2017,3
0001193125-17-336422,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20170930,2017.0,Q3,20171108,2017-11-08 06:19:00.0,0,1,mx-20170930.xml,1,,2017,4
0001193125-13-318094,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20130630,2013.0,Q2,20130805,2013-08-05 06:07:00.0,0,1,mx-20130630.xml,1,,2013,3
0001193125-13-433908,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20130930,2013.0,Q3,20131108,2013-11-08 06:17:00.0,0,1,mx-20130930.xml,1,,2013,4
0001193125-15-046730,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20131231,2013.0,FY,20150212,2015-02-12 16:12:00.0,0,1,mx-20131231.xml,1,,2015,1
0001193125-15-046744,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20140331,2014.0,Q1,20150212,2015-02-12 16:14:00.0,0,1,mx-20140331.xml,1,,2015,1
0001193125-15-046768,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20140630,2014.0,Q2,20150212,2015-02-12 16:19:00.0,0,1,mx-20140630.xml,1,,2015,1
0001193125-15-046779,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20140930,2014.0,Q3,20150212,2015-02-12 16:20:00.0,0,1,mx-20140930.xml,1,,2015,1
0001193125-17-164171,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20170331,2017.0,Q1,20170509,2017-05-09 16:07:00.0,0,1,mx-20170331.xml,1,,2017,2
0001193125-18-156480,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20180331,2018.0,Q1,20180509,2018-05-09 06:03:00.0,0,1,mx-20180331.xml,1,,2018,2
0001193125-12-233014,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,4-NON,0,1231.0,10-Q,20120331,2012.0,Q1,20120515,2012-05-15 08:59:00.0,0,0,mx-20120331.xml,1,,2012,2
0001193125-16-757126,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20160930,2016.0,Q3,20161102,2016-11-02 16:32:00.0,0,1,mx-20160930.xml,1,,2016,4
0001193125-16-673542,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20160630,2016.0,Q2,20160805,2016-08-05 16:32:00.0,0,1,mx-20160630.xml,1,,2016,3
0001193125-12-453043,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,4-NON,0,1231.0,10-Q,20120930,2012.0,Q3,20121106,2012-11-06 06:11:00.0,0,1,mx-20120930.xml,1,,2012,4
0001193125-12-341601,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,4-NON,0,1231.0,10-Q,20120630,2012.0,Q2,20120808,2012-08-07 19:58:00.0,0,1,mx-20120630.xml,1,,2012,3
0001193125-18-243413,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20180630,2018.0,Q2,20180809,2018-08-09 06:26:00.0,0,1,mx-20180630.xml,1,,2018,3
0001193125-16-580819,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20160331,2016.0,Q1,20160506,2016-05-06 06:22:00.0,0,1,mx-20160331.xml,1,,2016,2
0001193125-15-370252,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20150930,2015.0,Q3,20151106,2015-11-06 16:39:00.0,0,1,mx-20150930.xml,1,,2015,4
0001193125-15-283105,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20150630,2015.0,Q2,20150807,2015-08-07 16:18:00.0,0,1,mx-20150630.xml,1,,2015,3
0001193125-13-070260,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20121231,2012.0,FY,20130222,2013-02-22 06:16:00.0,0,1,mx-20121231.xml,1,,2013,1
0001193125-15-204040,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20141231,2014.0,FY,20150528,2015-05-28 16:07:00.0,0,1,mx-20141231.xml,1,,2015,2
0001193125-15-214944,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-Q,20150331,2015.0,Q1,20150605,2015-06-05 16:12:00.0,0,1,mx-20150331.xml,1,,2015,2
0001193125-17-050458,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,2-ACC,0,1231.0,10-K,20161231,2016.0,FY,20170221,2017-02-21 16:32:00.0,0,1,mx-20161231.xml,1,,2017,1
0001193125-11-296146,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,4-NON,0,1231.0,10-Q,20110930,2011.0,Q3,20111104,2011-11-04 06:10:00.0,0,0,mx-20110930.xml,1,,2011,4
0001193125-11-211470,1325702,MAGNACHIP SEMICONDUCTOR CORP,3674.0,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",(352) 45-62-,LU,,LUXEMBOURG,L-2146,C/O MAGNACHIP SEMICONDUCTOR S.A.,"74, RUE DE MERL",US,DE,830406195.0,MAGNACHIP SEMICONDUCTOR LLC,20110304.0,4-NON,0,1231.0,10-Q,20110630,2011.0,Q2,20110805,2011-08-05 09:07:00.0,0,0,mx-20110630.xml,1,,2011,3
